ObjectId,Attribute,Order,Name1,Name2,Expression,Flag,LvExtra
-2147483434,0,,,,,0,
-2147483434,255,,,,,,
-2147483434,5,,"tlkpVIPRCodes",,,,
-2147483434,6,,,,"[tlkpVIPRCodes].[TYPE]",0,
-2147483434,6,,,,"[tlkpVIPRCodes].[ORD]",0,
-2147483433,0,,,,,0,
-2147483433,255,,,,,,
-2147483433,5,,"tlkpVIPRCodes",,,,
-2147483433,6,,,,"[tlkpVIPRCodes].[TYPE]",0,
-2147483433,6,,,,"[tlkpVIPRCodes].[ORD]",0,
-2147483432,0,,,,,0,
-2147483432,255,,,,,,
-2147483432,5,,"tlkpVIPRCodes",,,,
-2147483432,6,,,,"[tlkpVIPRCodes].[TYPE]",0,
-2147483432,6,,,,"[tlkpVIPRCodes].[ORD]",0,
-2147483431,0,,,,,0,
-2147483431,255,,,,,,
-2147483431,2,,"__PersonID",,,0,
-2147483431,3,,,,,9,
-2147483431,5,,"qryPeople_Phones_SORTED","frmClient_People_Sub",,,
-2147483431,8,,,,"([__PersonID] = PersonID)",,
-2147483430,0,,,,,0,
-2147483430,255,,,,,,
-2147483430,2,,"__ClientID",,,0,
-2147483430,3,,,,,9,
-2147483430,5,,"qryPeople_WHE_Evaluees","frmClients",,,
-2147483430,8,,,,"([__ClientID] = ClientID)",,
-2147483429,0,,,,,0,
-2147483429,255,,,,,,
-2147483429,2,,"__ClientID",,,0,
-2147483429,3,,,,,9,
-2147483429,5,,"qryPeople_WHE_Contacts","frmClients",,,
-2147483429,8,,,,"([__ClientID] = ClientID)",,
-2147483428,0,,,,,0,
-2147483428,255,,,,,,
-2147483428,3,,,,,9,
-2147483428,5,,"qryPerson_Types_DDLB",,,,
-2147483427,0,,,,,0,
-2147483427,255,,,,,,
-2147483427,2,,"__PersonID",,,0,
-2147483427,3,,,,,9,
-2147483427,5,,"qryEvaluee_Occupations_SORTED","frmEvaluee_PopUp",,,
-2147483427,8,,,,"([__PersonID] = PersonID)",,
-2147483426,0,,,,,0,
-2147483426,255,,,,,,
-2147483426,2,,"__PersonID",,,0,
-2147483426,3,,,,,9,
-2147483426,5,,"qryEvaluee_Occupations_SORTED","frmEvaluee_PopUp",,,
-2147483426,8,,,,"([__PersonID] = PersonID)",,
-2147483425,0,,,,,0,
-2147483425,255,,,,,,
-2147483425,2,,"__PersonID",,,0,
-2147483425,3,,,,,9,
-2147483425,5,,"qryEvaluee_Test_Results_SORTED","frmEvaluee_PopUp",,,
-2147483425,8,,,,"([__PersonID] = PersonID)",,
-2147483424,0,,,,,0,
-2147483424,255,,,,,,
-2147483424,2,,"__PersonID",,,0,
-2147483424,3,,,,,9,
-2147483424,5,,"qryEvaluee_Profiles_SORTED","frmEvaluee_PopUp",,,
-2147483424,8,,,,"([__PersonID] = PersonID)",,
-2147483423,0,,,,,0,
-2147483423,255,,,,,,
-2147483423,2,,"__PersonID",,,0,
-2147483423,3,,,,,9,
-2147483423,5,,"qryEvaluee_Ratings_SORTED","frmEvaluee_PopUp",,,
-2147483423,8,,,,"([__PersonID] = PersonID)",,
-2147483422,0,,,,,0,
-2147483422,255,,,,,,
-2147483422,2,,"__PersonID",,,0,
-2147483422,3,,,,,9,
-2147483422,5,,"qryEvaluee_Reports_Menu","frmEvaluee_PopUp",,,
-2147483422,8,,,,"([__PersonID] = PersonID)",,
-2147483421,0,,,,,0,
-2147483421,255,,,,,,
-2147483421,2,,"__PersonID",,,0,
-2147483421,3,,,,,9,
-2147483421,5,,"qryEvaluee_Rpt_Table_of_Contents_SORTED","frmEvaluee_Reports_Sub",,,
-2147483421,8,,,,"([__PersonID] = PersonID)",,
-2147483420,0,,,,,0,
-2147483420,255,,,,,,
-2147483420,2,,"__PersonID",,,0,
-2147483420,3,,,,,9,
-2147483420,5,,"qryEvaluee_Other_Referral_Sources_SORTED","frmEvaluees",,,
-2147483420,8,,,,"([__PersonID] = PersonID)",,
-2147483419,0,,,,,0,
-2147483419,255,,,,,,
-2147483419,2,,"__PersonID",,,0,
-2147483419,3,,,,,9,
-2147483419,5,,"qryEvaluee_Occupations_SORTED","frmEvaluees",,,
-2147483419,8,,,,"([__PersonID] = PersonID)",,
-2147483418,0,,,,,0,
-2147483418,255,,,,,,
-2147483418,2,,"__PersonID",,,0,
-2147483418,3,,,,,9,
-2147483418,5,,"qryEvaluee_Test_Results_SORTED","frmEvaluees",,,
-2147483418,8,,,,"([__PersonID] = PersonID)",,
-2147483417,0,,,,,0,
-2147483417,255,,,,,,
-2147483417,2,,"__PersonID",,,0,
-2147483417,3,,,,,9,
-2147483417,5,,"qryEvaluee_Statistics_SORTED","frmEvaluees",,,
-2147483417,8,,,,"([__PersonID] = PersonID)",,
-2147483416,0,,,,,0,
-2147483416,255,,,,,,
-2147483416,2,,"__PersonID",,,0,
-2147483416,3,,,,,9,
-2147483416,5,,"qryEvaluee_Household_Chores_SORTED","frmEvaluees",,,
-2147483416,8,,,,"([__PersonID] = PersonID)",,
-2147483415,0,,,,,0,
-2147483415,255,,,,,,
-2147483415,2,,"__PersonID",,,0,
-2147483415,3,,,,,9,
-2147483415,5,,"qryEvaluee_Statistics_SORTED","frmEvaluees",,,
-2147483415,8,,,,"([__PersonID] = PersonID)",,
-2147483414,0,,,,,0,
-2147483414,255,,,,,,
-2147483414,2,,"__PersonID",,,0,
-2147483414,3,,,,,9,
-2147483414,5,,"qryEvaluee_Occupations_SORTED","frmEvaluees",,,
-2147483414,8,,,,"([__PersonID] = PersonID)",,
-2147483413,0,,,,,0,
-2147483413,255,,,,,,
-2147483413,2,,"__PersonID",,,0,
-2147483413,3,,,,,9,
-2147483413,5,,"qryEvaluee_Jobs_SORTED","frmEvaluees",,,
-2147483413,8,,,,"([__PersonID] = PersonID)",,
-2147483412,0,,,,,0,
-2147483412,255,,,,,,
-2147483412,2,,"__PersonID",,,0,
-2147483412,3,,,,,9,
-2147483412,5,,"qryEvaluee_Profiles_SORTED","frmEvaluees",,,
-2147483412,8,,,,"([__PersonID] = PersonID)",,
-2147483411,0,,,,,0,
-2147483411,255,,,,,,
-2147483411,2,,"__PersonID",,,0,
-2147483411,3,,,,,9,
-2147483411,5,,"qryEvaluee_Profiles_SORTED","frmEvaluees",,,
-2147483411,8,,,,"([__PersonID] = PersonID)",,
-2147483410,0,,,,,0,
-2147483410,255,,,,,,
-2147483410,2,,"__PersonID",,,0,
-2147483410,3,,,,,9,
-2147483410,5,,"qryEvaluee_Ratings_SORTED","frmEvaluees",,,
-2147483410,8,,,,"([__PersonID] = PersonID)",,
-2147483409,0,,,,,0,
-2147483409,255,,,,,,
-2147483409,2,,"__PersonID",,,0,
-2147483409,3,,,,,9,
-2147483409,5,,"qryEvaluee_Reports_Menu","frmEvaluees",,,
-2147483409,8,,,,"([__PersonID] = PersonID)",,
-2147483408,0,,,,,0,
-2147483408,255,,,,,,
-2147483408,2,,"__PersonID",,,0,
-2147483408,3,,,,,9,
